city,state,num_golf_courses,avg_rating,sum_ratings_count,avg_length_yards,state_golfable,score,rank
Garner,North Carolina,1,5.0,2,2670.0,0,0.43750428831177735,200
Rye Beach,New Hampshire,1,5.0,2,6213.0,0,0.43750428831177735,201
Rye,New Hampshire,1,5.0,2,6381.0,0,0.43750428831177735,202
Rochester,New Hampshire,1,5.0,2,6596.0,0,0.43750428831177735,203
Manlius,New York,1,5.0,2,6741.0,0,0.43750428831177735,204
Rogers City,Michigan,1,5.0,2,6142.0,0,0.43750428831177735,205
Rocky Face,Georgia,1,5.0,2,6906.0,0,0.43750428831177735,206
Waterloo,New York,1,5.0,2,5942.0,0,0.43750428831177735,207
Aurora,Armed Forces Americas,1,5.0,2,,0,0.43750428831177735,208
Captiva,Florida,1,5.0,2,2891.0,0,0.43750428831177735,209
Springfield,Pennsylvania,1,5.0,2,6628.0,0,0.43750428831177735,210
Mars Hill,North Carolina,1,5.0,2,5847.0,0,0.43750428831177735,211
Waynesboro,Virginia,1,5.0,2,6456.0,0,0.43750428831177735,212
Hurley,Wisconsin,1,5.0,2,5870.0,0,0.43750428831177735,213
Haworth,New Jersey,1,5.0,2,6583.0,0,0.43750428831177735,214
Averill Park,New York,1,5.0,2,6200.0,0,0.43750428831177735,215
Mars,Pennsylvania,1,5.0,2,0.0,0,0.43750428831177735,216
Hellertown,Pennsylvania,1,5.0,2,,0,0.43750428831177735,217
Battle Creek,Nebraska,1,5.0,2,3266.0,0,0.43750428831177735,218
Motley,Minnesota,1,5.0,2,2987.0,0,0.43750428831177735,219
Chesterfield,South Carolina,1,5.0,2,6706.0,0,0.43750428831177735,220
Discovery Bay,California,1,5.0,2,6518.0,0,0.43750428831177735,221
Penn Run,Pennsylvania,1,5.0,2,1238.0,0,0.43750428831177735,222
Banning,California,1,5.0,2,7017.0,0,0.43750428831177735,223
Aliceville,Alabama,1,5.0,2,0.0,0,0.43750428831177735,224
Stephens City,Virginia,1,5.0,2,1083.0,0,0.43750428831177735,225
Lookout Mountain,Georgia,1,5.0,2,6486.0,0,0.43750428831177735,226
Albion,Nebraska,1,5.0,1,3078.0,0,0.43749999999999994,227
Emily,Minnesota,1,5.0,1,,0,0.43749999999999994,228
Primghar,Iowa,1,5.0,1,3240.0,0,0.43749999999999994,229
Elmore,Minnesota,1,5.0,1,3111.0,0,0.43749999999999994,230
Elmhurst,Illinois,1,5.0,1,,0,0.43749999999999994,231
Lowville,New York,1,5.0,1,5647.0,0,0.43749999999999994,232
